City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,Maragogi,-9.0122,-35.2225,77.74,86,83,8.3,BR,2021-02-15 03:32:49
241,Gayny,60.3071,54.3241,-1.3,93,100,4.34,RU,2021-02-15 03:32:50
242,Port Blair,11.6667,92.75,82.08,70,12,8.72,IN,2021-02-15 03:32:50
243,Zheleznodorozhnyy,55.7503,38.0042,-0.4,85,0,13.42,RU,2021-02-15 03:32:50
244,Puerto Colombia,10.9878,-74.9547,80.6,83,20,9.22,CO,2021-02-15 03:32:50
245,Kemijarvi,66.7131,27.4306,11.17,95,100,8.63,FI,2021-02-15 03:32:50
246,Pionerskiy,54.9508,20.2275,28.99,93,75,4.47,RU,2021-02-15 03:32:50
247,Puerto Del Rosario,28.5004,-13.8627,62.6,88,90,6.91,ES,2021-02-15 03:32:51
248,Ribeira Brava,32.65,-17.0667,57.2,82,20,3.44,PT,2021-02-15 03:32:51
249,Nalut,30.3333,10.85,39.58,74,3,12.28,LY,2021-02-15 03:32:51
250,Madera,37.1666,-119.8343,46.99,75,63,2.91,US,2021-02-15 03:32:51
251,Santiago Del Estero,-27.7951,-64.2615,77.0,67,4,1.99,AR,2021-02-15 03:32:51
252,Talara,-4.5772,-81.2719,74.28,82,53,9.82,PE,2021-02-15 03:32:51
253,Ketchikan,55.3422,-131.6461,33.8,100,90,5.17,US,2021-02-15 03:29:10
254,Rock Sound,24.9,-76.2,76.32,83,0,14.47,BS,2021-02-15 03:32:52
255,Chuy,-33.6971,-53.4616,68.4,91,100,2.44,UY,2021-02-15 03:32:52
256,Haines Junction,60.7522,-137.5108,-20.2,76,9,0.4,CA,2021-02-15 03:32:53
257,Nuuk,64.1835,-51.7216,14.0,85,90,3.44,GL,2021-02-15 03:32:53
258,Vila Velha,-20.3297,-40.2925,78.8,73,40,8.05,BR,2021-02-15 03:32:53
259,Narsaq,60.9167,-46.05,28.4,86,75,5.75,GL,2021-02-15 03:32:53
260,Tabligbo,6.5833,1.5,82.4,83,40,8.05,TG,2021-02-15 03:32:53
261,Grand Gaube,-20.0064,57.6608,79.0,80,93,1.01,MU,2021-02-15 03:32:53
262,Akyab,20.15,92.9,75.38,41,0,6.22,MM,2021-02-15 03:32:54
263,Batsfjord,70.6345,29.7185,21.2,86,75,12.66,NO,2021-02-15 03:32:54
